binary,function,instructions,basic_blocks,edges,calls,indirect_calls,jumps,loops,mem_reads,mem_writes,stack_size,avg_bb_size,max_bb_size,call_density,mem_write_ratio,jump_density,label
arm_stack_vuln_1_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
cmd_injection_safe_3_x86_O2,main,6,1,1,1,0,0,0,4,5,8,6.0,6,0.16666666666666666,0.8333333333333334,0.0,0
cmd_injection_vuln_6_x86_O3,main,10,3,3,1,0,1,0,7,6,8,3.3333333333333335,6,0.1,0.6,0.1,0
stack_overflow_vuln_2_x86_O3,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
stack_overflow_vuln_2_x86_O3,vuln,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
int_overflow_vuln_9_x86_O2,main,8,1,1,1,0,0,0,6,8,8,8.0,8,0.125,1.0,0.0,0
control_flow_flatten_vuln_8_x86_O1,vulnerable,18,4,6,2,0,2,1,9,11,8,4.5,9,0.1111111111111111,0.6111111111111112,0.1111111111111111,1
control_flow_flatten_vuln_8_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
stack_overflow_vuln_3_x86_O0,vuln,12,1,1,1,0,0,0,7,7,88,12.0,12,0.08333333333333333,0.5833333333333334,0.0,1
stack_overflow_vuln_3_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
format_safe_2_x86_O3,main,14,1,2,2,0,0,0,10,12,8,14.0,14,0.14285714285714285,0.8571428571428571,0.0,0
dead_code_vuln_3_x86_O3,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
dead_code_vuln_3_x86_O3,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
cmd_injection_vuln_0_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
control_flow_flatten_vuln_6_x86_O0,vulnerable,33,11,16,2,0,9,3,13,15,72,3.0,7,0.06060606060606061,0.45454545454545453,0.2727272727272727,1
control_flow_flatten_vuln_6_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
inline_asm_vuln_9_x86_O0,asm_noise,7,1,0,0,0,0,0,3,4,8,7.0,7,0.0,0.5714285714285714,0.0,0
inline_asm_vuln_9_x86_O0,vulnerable,13,1,2,2,0,0,0,7,7,56,13.0,13,0.15384615384615385,0.5384615384615384,0.0,1
inline_asm_vuln_9_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
stack_safe_5_x86_O0,safe,14,1,1,1,0,0,0,7,9,88,14.0,14,0.07142857142857142,0.6428571428571429,0.0,0
stack_safe_5_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
int_overflow_vuln_8_x86_O2,main,8,1,1,1,0,0,0,6,8,8,8.0,8,0.125,1.0,0.0,0
int_overflow_vuln_5_x86_O0,main,17,1,1,1,0,0,0,13,13,28,17.0,17,0.058823529411764705,0.7647058823529411,0.0,0
race_vuln_8_x86_O0,inc,14,4,4,0,0,2,1,9,9,40,3.5,5,0.0,0.6428571428571429,0.14285714285714285,0
race_vuln_8_x86_O0,main,26,1,4,4,0,0,0,9,19,32,26.0,26,0.15384615384615385,0.7307692307692307,0.0,0
int_safe_3_x86_O2,main,8,1,1,1,0,0,0,6,8,8,8.0,8,0.125,1.0,0.0,0
int_safe_3_x86_O2,safe_mul,10,3,2,0,0,1,0,9,6,8,3.3333333333333335,5,0.0,0.6,0.1,0
opaque_predicate_vuln_7_x86_O2,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
opaque_predicate_vuln_7_x86_O2,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
dead_code_safe_6_x86_O1,useless,6,3,3,0,0,1,1,3,3,8,2.0,2,0.0,0.5,0.16666666666666666,0
stack_overflow_vuln_1_x86_O3,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
stack_overflow_vuln_1_x86_O3,vuln,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
opaque_predicate_safe_2_x86_O0,always_true,18,5,6,0,0,3,0,16,11,20,3.6,8,0.0,0.6111111111111112,0.16666666666666666,0
opaque_predicate_safe_2_x86_O0,safe,17,3,5,2,0,1,0,9,9,56,5.666666666666667,7,0.11764705882352941,0.5294117647058824,0.058823529411764705,0
opaque_predicate_safe_2_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
opaque_predicate_vuln_6_x86_O0,always_true,18,5,6,0,0,3,0,16,11,20,3.6,8,0.0,0.6111111111111112,0.16666666666666666,0
opaque_predicate_vuln_6_x86_O0,vulnerable,15,3,5,2,0,1,0,9,7,56,5.0,7,0.13333333333333333,0.4666666666666667,0.06666666666666667,1
opaque_predicate_vuln_6_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
control_flow_flatten_vuln_1_x86_O2,main,10,3,3,1,0,1,0,7,6,8,3.3333333333333335,6,0.1,0.6,0.1,0
control_flow_flatten_vuln_1_x86_O2,vulnerable,10,1,2,2,0,0,0,7,8,8,10.0,10,0.2,0.8,0.0,1
opaque_predicate_safe_5_x86_O0,always_true,18,5,6,0,0,3,0,16,11,20,3.6,8,0.0,0.6111111111111112,0.16666666666666666,0
opaque_predicate_safe_5_x86_O0,safe,17,3,5,2,0,1,0,9,9,56,5.666666666666667,7,0.11764705882352941,0.5294117647058824,0.058823529411764705,0
opaque_predicate_safe_5_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
use_after_free_vuln_8_x86_O0,main,21,1,3,3,0,0,0,13,15,24,21.0,21,0.14285714285714285,0.7142857142857143,0.0,0
arm_stack_vuln_3_x86_O3,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
arm_stack_vuln_3_x86_O3,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
inline_asm_safe_7_x86_O3,main,6,3,3,0,0,1,0,4,4,8,2.0,2,0.0,0.6666666666666666,0.16666666666666666,0
arm_stack_vuln_5_x86_O3,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
arm_stack_vuln_5_x86_O3,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
cmd_injection_safe_9_x86_O3,main,6,1,1,1,0,0,0,4,5,8,6.0,6,0.16666666666666666,0.8333333333333334,0.0,0
use_after_free_vuln_2_x86_O1,main,13,1,3,3,0,0,0,5,8,8,13.0,13,0.23076923076923078,0.6153846153846154,0.0,0
stack_overflow_vuln_8_x86_O2,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
stack_overflow_vuln_8_x86_O2,vuln,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
format_safe_8_x86_O1,main,14,1,2,2,0,0,0,6,10,8,14.0,14,0.14285714285714285,0.7142857142857143,0.0,0
format_vuln_3_x86_O2,main,13,1,2,2,0,0,0,10,11,8,13.0,13,0.15384615384615385,0.8461538461538461,0.0,0
control_flow_flatten_safe_4_x86_O0,safe,35,11,16,2,0,9,3,13,17,72,3.1818181818181817,9,0.05714285714285714,0.4857142857142857,0.2571428571428571,0
control_flow_flatten_safe_4_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
race_safe_4_x86_O0,inc,21,4,6,2,0,2,1,12,13,40,5.25,10,0.09523809523809523,0.6190476190476191,0.09523809523809523,0
race_safe_4_x86_O0,main,33,1,6,6,0,0,0,11,24,32,33.0,33,0.18181818181818182,0.7272727272727273,0.0,0
dead_code_safe_1_x86_O1,useless,6,3,3,0,0,1,1,3,3,8,2.0,2,0.0,0.5,0.16666666666666666,0
heap_overflow_vuln_6_x86_O3,main,10,3,3,1,0,1,0,7,6,8,3.3333333333333335,6,0.1,0.6,0.1,0
heap_overflow_vuln_6_x86_O3,vuln,10,1,3,3,0,0,0,5,6,8,10.0,10,0.3,0.6,0.0,1
double_free_safe_8_x86_O0,main,13,1,2,2,0,0,0,6,8,24,13.0,13,0.15384615384615385,0.6153846153846154,0.0,0
use_after_free_vuln_2_x86_O2,main,13,1,3,3,0,0,0,9,10,8,13.0,13,0.23076923076923078,0.7692307692307693,0.0,0
stack_overflow_vuln_4_x86_O0,vuln,12,1,1,1,0,0,0,7,7,88,12.0,12,0.08333333333333333,0.5833333333333334,0.0,1
stack_overflow_vuln_4_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
format_vuln_5_x86_O1,main,13,1,2,2,0,0,0,6,9,8,13.0,13,0.15384615384615385,0.6923076923076923,0.0,0
null_deref_safe_6_x86_O0,main,16,3,4,1,0,1,0,10,10,24,5.333333333333333,7,0.0625,0.625,0.0625,0
arm_stack_vuln_2_x86_O0,vulnerable,12,1,1,1,0,0,0,7,7,56,12.0,12,0.08333333333333333,0.5833333333333334,0.0,1
arm_stack_vuln_2_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
oob_vuln_4_x86_O0,main,6,1,0,0,0,0,0,2,4,8,6.0,6,0.0,0.6666666666666666,0.0,0
format_safe_1_x86_O3,main,14,1,2,2,0,0,0,10,12,8,14.0,14,0.14285714285714285,0.8571428571428571,0.0,0
control_flow_flatten_safe_7_x86_O1,safe,20,4,6,2,0,2,1,9,13,17,5.0,11,0.1,0.65,0.1,0
control_flow_flatten_safe_7_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
control_flow_flatten_safe_8_x86_O1,safe,20,4,6,2,0,2,1,9,13,17,5.0,11,0.1,0.65,0.1,0
control_flow_flatten_safe_8_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
cmd_injection_safe_9_x86_O0,main,8,1,1,1,0,0,0,3,5,8,8.0,8,0.125,0.625,0.0,0
opaque_predicate_vuln_9_x86_O1,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
opaque_predicate_vuln_9_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
inline_asm_safe_2_x86_O1,main,6,3,4,1,0,2,1,1,1,8,2.0,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0
use_after_free_vuln_6_x86_O2,main,13,1,3,3,0,0,0,9,10,8,13.0,13,0.23076923076923078,0.7692307692307693,0.0,0
race_vuln_2_x86_O1,inc,11,3,3,0,0,1,1,10,7,8,3.6666666666666665,4,0.0,0.6363636363636364,0.09090909090909091,0
race_vuln_2_x86_O1,main,23,1,4,4,0,0,0,8,17,32,23.0,23,0.17391304347826086,0.7391304347826086,0.0,0
race_safe_4_x86_O3,main,25,1,6,6,0,0,0,21,26,32,25.0,25,0.24,1.04,0.0,0
race_safe_4_x86_O3,inc,13,3,5,2,0,1,1,5,8,8,4.333333333333333,7,0.15384615384615385,0.6153846153846154,0.07692307692307693,0
format_safe_5_x86_O1,main,14,1,2,2,0,0,0,6,10,8,14.0,14,0.14285714285714285,0.7142857142857143,0.0,0
race_safe_0_x86_O3,main,25,1,6,6,0,0,0,21,26,32,25.0,25,0.24,1.04,0.0,0
race_safe_0_x86_O3,inc,13,3,5,2,0,1,1,5,8,8,4.333333333333333,7,0.15384615384615385,0.6153846153846154,0.07692307692307693,0
arm_stack_safe_9_x86_O0,safe,14,1,1,1,0,0,0,7,9,56,14.0,14,0.07142857142857142,0.6428571428571429,0.0,0
arm_stack_safe_9_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
opaque_predicate_vuln_1_x86_O1,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
opaque_predicate_vuln_1_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
arm_stack_vuln_0_x86_O3,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
arm_stack_vuln_0_x86_O3,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
null_deref_vuln_3_x86_O1,main,8,1,1,1,0,0,0,4,6,8,8.0,8,0.125,0.75,0.0,0
format_safe_5_x86_O0,main,17,1,2,2,0,0,0,7,12,144,17.0,17,0.11764705882352941,0.7058823529411765,0.0,0
opaque_predicate_safe_0_x86_O0,always_true,18,5,6,0,0,3,0,16,11,20,3.6,8,0.0,0.6111111111111112,0.16666666666666666,0
opaque_predicate_safe_0_x86_O0,safe,17,3,5,2,0,1,0,9,9,56,5.666666666666667,7,0.11764705882352941,0.5294117647058824,0.058823529411764705,0
opaque_predicate_safe_0_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
cmd_injection_safe_6_x86_O2,main,6,1,1,1,0,0,0,4,5,8,6.0,6,0.16666666666666666,0.8333333333333334,0.0,0
format_safe_7_x86_O0,main,17,1,2,2,0,0,0,7,12,144,17.0,17,0.11764705882352941,0.7058823529411765,0.0,0
inline_asm_safe_8_x86_O3,main,6,3,3,0,0,1,0,4,4,8,2.0,2,0.0,0.6666666666666666,0.16666666666666666,0
use_after_free_vuln_9_x86_O2,main,13,1,3,3,0,0,0,9,10,8,13.0,13,0.23076923076923078,0.7692307692307693,0.0,0
inline_asm_vuln_8_x86_O1,vulnerable,10,1,2,2,0,0,0,6,6,8,10.0,10,0.2,0.6,0.0,1
inline_asm_vuln_8_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
dead_code_vuln_4_x86_O3,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
dead_code_vuln_4_x86_O3,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
cmd_injection_vuln_1_x86_O3,main,10,3,3,1,0,1,0,7,6,8,3.3333333333333335,6,0.1,0.6,0.1,0
format_vuln_5_x86_O3,main,13,1,2,2,0,0,0,10,11,8,13.0,13,0.15384615384615385,0.8461538461538461,0.0,0
cmd_injection_safe_2_x86_O2,main,6,1,1,1,0,0,0,4,5,8,6.0,6,0.16666666666666666,0.8333333333333334,0.0,0
double_free_safe_1_x86_O0,main,13,1,2,2,0,0,0,6,8,24,13.0,13,0.15384615384615385,0.6153846153846154,0.0,0
null_deref_vuln_6_x86_O1,main,8,1,1,1,0,0,0,4,6,8,8.0,8,0.125,0.75,0.0,0
dead_code_safe_0_x86_O0,useless,15,4,4,0,0,2,1,13,10,36,3.75,6,0.0,0.6666666666666666,0.13333333333333333,0
dead_code_safe_0_x86_O0,safe,16,1,2,2,0,0,0,7,10,56,16.0,16,0.125,0.625,0.0,0
dead_code_safe_0_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
heap_overflow_vuln_3_x86_O2,main,10,3,3,1,0,1,0,7,6,8,3.3333333333333335,6,0.1,0.6,0.1,0
heap_overflow_vuln_3_x86_O2,vuln,10,1,3,3,0,0,0,5,6,8,10.0,10,0.3,0.6,0.0,1
double_free_vuln_2_x86_O0,main,15,1,3,3,0,0,0,8,9,24,15.0,15,0.2,0.6,0.0,0
race_vuln_4_x86_O3,main,20,1,4,4,0,0,0,19,22,32,20.0,20,0.2,1.1,0.0,0
race_safe_4_x86_O1,inc,17,3,5,2,0,1,1,8,11,8,5.666666666666667,7,0.11764705882352941,0.6470588235294118,0.058823529411764705,0
race_safe_4_x86_O1,main,31,1,6,6,0,0,0,11,22,48,31.0,31,0.1935483870967742,0.7096774193548387,0.0,0
arm_stack_safe_7_x86_O0,safe,14,1,1,1,0,0,0,7,9,56,14.0,14,0.07142857142857142,0.6428571428571429,0.0,0
arm_stack_safe_7_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
format_vuln_7_x86_O3,main,13,1,2,2,0,0,0,10,11,8,13.0,13,0.15384615384615385,0.8461538461538461,0.0,0
opaque_predicate_vuln_2_x86_O0,always_true,18,5,6,0,0,3,0,16,11,20,3.6,8,0.0,0.6111111111111112,0.16666666666666666,0
opaque_predicate_vuln_2_x86_O0,vulnerable,15,3,5,2,0,1,0,9,7,56,5.0,7,0.13333333333333333,0.4666666666666667,0.06666666666666667,1
opaque_predicate_vuln_2_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
format_vuln_5_x86_O2,main,13,1,2,2,0,0,0,10,11,8,13.0,13,0.15384615384615385,0.8461538461538461,0.0,0
heap_safe_1_x86_O0,safe,22,1,3,3,0,0,0,13,15,40,22.0,22,0.13636363636363635,0.6818181818181818,0.0,0
heap_safe_1_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
int_safe_8_x86_O0,safe_mul,15,4,4,0,0,2,0,11,8,24,3.75,9,0.0,0.5333333333333333,0.13333333333333333,0
int_safe_8_x86_O0,main,14,1,2,2,0,0,0,7,10,8,14.0,14,0.14285714285714285,0.7142857142857143,0.0,0
format_vuln_6_x86_O2,main,13,1,2,2,0,0,0,10,11,8,13.0,13,0.15384615384615385,0.8461538461538461,0.0,0
use_after_free_vuln_8_x86_O1,main,13,1,3,3,0,0,0,5,8,8,13.0,13,0.23076923076923078,0.6153846153846154,0.0,0
opaque_predicate_vuln_2_x86_O1,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
opaque_predicate_vuln_2_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
opaque_predicate_vuln_0_x86_O1,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
opaque_predicate_vuln_0_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
cmd_injection_safe_2_x86_O1,main,6,1,1,1,0,0,0,2,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,0
inline_asm_safe_7_x86_O1,main,6,3,4,1,0,2,1,1,1,8,2.0,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0
double_free_vuln_7_x86_O0,main,15,1,3,3,0,0,0,8,9,24,15.0,15,0.2,0.6,0.0,0
opaque_predicate_vuln_1_x86_O2,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
opaque_predicate_vuln_1_x86_O2,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
use_after_free_vuln_4_x86_O0,main,21,1,3,3,0,0,0,13,15,24,21.0,21,0.14285714285714285,0.7142857142857143,0.0,0
inline_asm_safe_2_x86_O3,main,6,3,3,0,0,1,0,4,4,8,2.0,2,0.0,0.6666666666666666,0.16666666666666666,0
stack_overflow_vuln_8_x86_O0,vuln,12,1,1,1,0,0,0,7,7,88,12.0,12,0.08333333333333333,0.5833333333333334,0.0,1
stack_overflow_vuln_8_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
dead_code_safe_5_x86_O1,useless,6,3,3,0,0,1,1,3,3,8,2.0,2,0.0,0.5,0.16666666666666666,0
race_vuln_3_x86_O0,inc,14,4,4,0,0,2,1,9,9,40,3.5,5,0.0,0.6428571428571429,0.14285714285714285,0
race_vuln_3_x86_O0,main,26,1,4,4,0,0,0,9,19,32,26.0,26,0.15384615384615385,0.7307692307692307,0.0,0
opaque_predicate_safe_3_x86_O0,always_true,18,5,6,0,0,3,0,16,11,20,3.6,8,0.0,0.6111111111111112,0.16666666666666666,0
opaque_predicate_safe_3_x86_O0,safe,17,3,5,2,0,1,0,9,9,56,5.666666666666667,7,0.11764705882352941,0.5294117647058824,0.058823529411764705,0
opaque_predicate_safe_3_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
race_vuln_7_x86_O0,inc,14,4,4,0,0,2,1,9,9,40,3.5,5,0.0,0.6428571428571429,0.14285714285714285,0
race_vuln_7_x86_O0,main,26,1,4,4,0,0,0,9,19,32,26.0,26,0.15384615384615385,0.7307692307692307,0.0,0
arm_stack_vuln_8_x86_O2,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
arm_stack_vuln_8_x86_O2,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
cmd_injection_safe_7_x86_O0,main,8,1,1,1,0,0,0,3,5,8,8.0,8,0.125,0.625,0.0,0
format_vuln_8_x86_O2,main,13,1,2,2,0,0,0,10,11,8,13.0,13,0.15384615384615385,0.8461538461538461,0.0,0
use_after_free_vuln_4_x86_O1,main,13,1,3,3,0,0,0,5,8,8,13.0,13,0.23076923076923078,0.6153846153846154,0.0,0
int_overflow_vuln_7_x86_O2,main,8,1,1,1,0,0,0,6,8,8,8.0,8,0.125,1.0,0.0,0
cmd_injection_vuln_8_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
arm_stack_safe_0_x86_O0,safe,14,1,1,1,0,0,0,7,9,56,14.0,14,0.07142857142857142,0.6428571428571429,0.0,0
arm_stack_safe_0_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
null_deref_vuln_2_x86_O1,main,8,1,1,1,0,0,0,4,6,8,8.0,8,0.125,0.75,0.0,0
dead_code_vuln_7_x86_O2,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
dead_code_vuln_7_x86_O2,vulnerable,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
oob_vuln_1_x86_O0,main,6,1,0,0,0,0,0,2,4,8,6.0,6,0.0,0.6666666666666666,0.0,0
use_after_free_safe_0_x86_O0,main,13,1,2,2,0,0,0,6,8,24,13.0,13,0.15384615384615385,0.6153846153846154,0.0,0
control_flow_flatten_safe_1_x86_O1,safe,20,4,6,2,0,2,1,9,13,17,5.0,11,0.1,0.65,0.1,0
control_flow_flatten_safe_1_x86_O1,main,10,3,3,1,0,1,0,4,5,8,3.3333333333333335,6,0.1,0.5,0.1,0
int_overflow_vuln_9_x86_O0,main,17,1,1,1,0,0,0,13,13,28,17.0,17,0.058823529411764705,0.7647058823529411,0.0,0
control_flow_flatten_vuln_5_x86_O0,vulnerable,33,11,16,2,0,9,3,13,15,72,3.0,7,0.06060606060606061,0.45454545454545453,0.2727272727272727,1
control_flow_flatten_vuln_5_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
cmd_injection_safe_5_x86_O1,main,6,1,1,1,0,0,0,2,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,0
race_safe_0_x86_O0,inc,21,4,6,2,0,2,1,12,13,40,5.25,10,0.09523809523809523,0.6190476190476191,0.09523809523809523,0
race_safe_0_x86_O0,main,33,1,6,6,0,0,0,11,24,32,33.0,33,0.18181818181818182,0.7272727272727273,0.0,0
stack_overflow_vuln_2_x86_O2,main,11,3,3,1,0,1,0,9,8,8,3.6666666666666665,7,0.09090909090909091,0.7272727272727273,0.09090909090909091,0
stack_overflow_vuln_2_x86_O2,vuln,6,1,1,1,0,0,0,4,4,8,6.0,6,0.16666666666666666,0.6666666666666666,0.0,1
dead_code_vuln_0_x86_O0,useless,15,4,4,0,0,2,1,13,10,36,3.75,6,0.0,0.6666666666666666,0.13333333333333333,0
dead_code_vuln_0_x86_O0,vulnerable,14,1,2,2,0,0,0,7,8,56,14.0,14,0.14285714285714285,0.5714285714285714,0.0,1
dead_code_vuln_0_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
stack_safe_3_x86_O0,safe,14,1,1,1,0,0,0,7,9,88,14.0,14,0.07142857142857142,0.6428571428571429,0.0,0
stack_safe_3_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
cmd_injection_safe_6_x86_O3,main,6,1,1,1,0,0,0,4,5,8,6.0,6,0.16666666666666666,0.8333333333333334,0.0,0
inline_asm_vuln_9_x86_O3,main,13,3,3,1,0,1,0,10,10,8,4.333333333333333,9,0.07692307692307693,0.7692307692307693,0.07692307692307693,0
inline_asm_vuln_9_x86_O3,vulnerable,8,1,1,1,0,0,0,5,6,8,8.0,8,0.125,0.75,0.0,1
inline_asm_safe_4_x86_O0,asm_noise,7,1,0,0,0,0,0,3,4,8,7.0,7,0.0,0.5714285714285714,0.0,0
inline_asm_safe_4_x86_O0,safe,15,1,2,2,0,0,0,7,9,56,15.0,15,0.13333333333333333,0.6,0.0,0
inline_asm_safe_4_x86_O0,main,15,3,4,1,0,1,0,11,9,32,5.0,7,0.06666666666666667,0.6,0.06666666666666667,0
heap_overflow_vuln_0_x86_O3,main,10,3,3,1,0,1,0,7,6,8,3.3333333333333335,6,0.1,0.6,0.1,0
heap_overflow_vuln_0_x86_O3,vuln,10,1,3,3,0,0,0,5,6,8,10.0,10,0.3,0.6,0.0,1
race_safe_8_x86_O3,main,25,1,6,6,0,0,0,21,26,32,25.0,25,0.24,1.04,0.0,0
race_safe_8_x86_O3,inc,13,3,5,2,0,1,1,5,8,8,4.333333333333333,7,0.15384615384615385,0.6153846153846154,0.07692307692307693,0
use_after_free_vuln_6_x86_O3,main,13,1,3,3,0,0,0,9,10,8,13.0,13,0.23076923076923078,0.7692307692307693,0.0,0
null_deref_vuln_7_x86_O0,main,14,1,1,1,0,0,0,9,10,24,14.0,14,0.07142857142857142,0.7142857142857143,0.0,0
use_after_free_vuln_7_x86_O3,main,13,1,3,3,0,0,0,9,10,8,13.0,13,0.23076923076923078,0.7692307692307693,0.0,0
control_flow_flatten_safe_6_x86_O3,main,10,3,3,1,0,1,0,7,6,8,3.3333333333333335,6,0.1,0.6,0.1,0
control_flow_flatten_safe_6_x86_O3,safe,12,1,2,2,0,0,0,7,10,17,12.0,12,0.16666666666666666,0.8333333333333334,0.0,0
